English Word,Arabic 2,Arabic 3,Arabic 4,Arabic 5
itching,حكة,هرش,,
skin rash,طفح جلدى,,,
nodal skin eruptions,طفح جلدى عقدى,,,
continuous sneezing,عطس مستمر,يعطس,,
shivering,يرتجف,يرتعش,,
chills,قشعريرة,برودة,,
joint pain,ألم المفاصل,,,
stomach pain,ألم المعدة,,,
acidity,حموضه,,,
ulcers on tongue,تقرحات على اللسان,,,
muscle wasting,ضمور العضلات,,,
vomiting,قىء,تقيؤ,يرجع,ترجيع
burning micturition,حرق التبول,,,
spotting urination,,,,
fatigue,تعب,إجهاد,إرهاق,
weight gain,زيادة الوزن,السمنة,التخن,
anxiety,قلق,,,
cold hands and feets,الأيدي والأقدام الباردة,ايدى باردة,رجلى باردة,ايدى ورجلى باردة
mood swings,تقلب المزاج,,,
weight loss,فقدان الوزن,خسارة الوزن,,
restlessness,أرق,عدم الشعور بالراحة,,
lethargy,خمول,كسل,نعاس,
patches in throat,بقع ف الحلق,,,
irregular sugar level,مستوى سكر غير منتظم,,,
cough,سعال,كحة,,
high fever,ارتفاع درجة الحرارة,سخونية,حمى شديدة,
sunken eyes,عيون غائرة,,,
breathlessness,ضيق التنفس,صعوبة ف التنفس,,
sweating,عرق,,,
dehydration,جفاف,,,
indigestion,عسر الهضم,سوء الهضم,,
headache,صداع,مصدع,,
yellowish skin,جلد اصفر,,,
dark urine,البول الداكن,بول غامق,بول اسود,
nausea,غثيان,انقباض المعدة,التقيؤ,
loss of appetite,فقدان الشهية, قهم ,اضطراب الأكل,
pain behind the eyes,ألم خلف العينين,صداع خلف العين,الصداع النصفي,
back pain,ألم الظهر,,,
constipation,إمساك,عسر التغوط,,
abdominal pain,وجع بطن,الم بطن,,
diarrhoea,إسهال,زحار,,
mild fever,حمى خفيفة,سخونة,,
yellow urine,البول الأصفر,,,
yellowing of eyes,اصفرار العين,اصفرار العيون,,
acute liver failure,فشل الكبد الحاد,فشل الكبد,قصور الكبد,
fluid overload,السوائل الزائدة,سوائل كتيره,مياه الزائدة,
swelling of stomach,تورم المعدة,انتفاخ المعدة,انتفاخ البطن,
swelled lymph nodes,تورم الغدد الليمفاوية,,,
malaise,توعك,,,
blurred and distorted vision,رؤية ضبابية,رؤية مشوهة,رؤية مزغلله,
phlegm,البلغم,اللعاب المختلط,,
throat irritation,تهيج الحلق,التهاب الحلق,التهاب الحنجرة,التهاب البلعوم
redness of eyes,احمرار العين,احمرار العيون,,
sinus pressure,ضغط الجيوب الأنفية,التهاب الجيوب,احتقان الأنف,
runny nose,سيلان الأنف,رشح الأنف,الثر الأنفي,
congestion,ازدحام,اكتظاظ,احتقان,
chest pain,ألم صدر,,,
weakness in limbs,ضعف الأطراف,الاعتلال العصبي المحيطي,الوهن العضلي الوبيل,ضعف عضلي
fast heart rate,معدل ضربات القلب السريع,تسرع القلب,عدم إنتظام ضربات القلب,
pain during bowel movements,ألم أثناء حركات الأمعاء,الم الامعاء,,
pain in anal region,ألم الشرج,ألم المستقيم,الألم الشرجي,
bloody stool,براز مدمي,براز بدم,براز احمر,
irritation in anus,تهيج الشرجي,التهاب المستقيم,التهاب شرجي,
neck pain,الم الرقبة,,,
dizziness,دوخة,"دوار
",دايخ,
cramps,تشنجات,انقباض,التقلص العضلي,تشنج
bruising,كدمه,,,
obesity,سمنه,تخن,,
swollen legs,تورم الرجل,تضحم الرجل,,
swollen blood vessels,تورم الاوعيه الدمويه,,,
puffy face and eyes,انتفاخ الوش,وش وارم,,
enlarged thyroid,تضخم في الغده الدرقيه,,,
brittle nails,ضوافر ضعيفه,,,
swollen extremeties,اطراف متورمه,تضخم في الاطراف,,
excessive hunger,جوع زايد,شره,,
extra marital contacts,علاقه خارج الزواج,,,
drying and tingling lips,جفاف الشفاه,,,
slurred speech,تلعثم في الكلام,كلامه ملغبط,,
knee pain,ركبه وجعاه,,,
hip joint pain,الم مفصل الورك,,,
muscle weakness,ضعف في العضل,,,
stiff neck,تصلب الرقبه,,,
swelling joints,تضخم في المفاصل,,,
movement stiffness,تصلب في الحركه,,,
spinning movements,الدنيا بتلف,,,
loss of balance,خلل في التوازن,,,
unsteadiness,مش ثابت,,,
weakness of one body side,ضعف في الجنب,,,
loss of smell,فقد حاسه الشم,,,
bladder discomfort,الم في المثانه,,,
foul smell of urine,بول ريحه وحشه,,,
continuous feel of urine,احساس دائم بالتبول,,,
passage of gases,غازات,,,
internal itching,حكه داخليه,,,
toxic look (typhos),تيفوس,,,
depression,اكتئاب,,,
irritability,تهيج,,,
muscle pain,الم عضل,,,
altered sensorium,قله تركيز و تفكير,,,
red spots over body,بقع حمراء على الجسم,بقع حمرا,احمرار,
belly pain,ألم في البطن,وجع في بطني,بطني بتوجعني,
abnormal menstruation,حيض غير طبيعي,,,
dyschromic patches,بقع في الجسم,بقع غريبة,,
watering from eyes,عيني بتدمع,دموع,,
increased appetite,شهية مفتوحة,زيادة في الشهية,شراهة في الاكل,
polyuria,بول كتير,,,
family history,تاريخ العائلة,تاريخ العيلة,,
mucoid sputum,البلغم المخاطي,بلغم رمادي,,
rusty sputum,بلغم صدئ,بلغم اصفر,بلغم بني,
lack of concentration,قلة التركيز,,,
visual disturbances,اضطرابات بصرية,رؤية مش واضحة,,
receiving blood transfusion,تلقي نقل الدم,اتنقل لي دم,,
coma,غيبوبة,,,
stomach bleeding,نزيف في المعدة,,,
distension of abdomen,انتفاخ البطن,بطن منتفخة,بطن منفوخة,
history of alcohol consumption,تاريخ استهلاك الكحول,تاريخ استهلاك الكحوليات,,
fluid overload,السوائل الزائدة,سوائل زيادة,,
blood in sputum,دم في البلغم,بلغم مصحوب بدم,بلغم بدم,
prominent veins on calf,عروق بارزة في الرجل,عروق بارزة في الساق,عروق بارزة في رجلي من تحت,
palpitations,ضربات قلب سريغة,ضربات قلب غير منتظمة,,
painful walking,مشي مؤلم,وجع لما بمشي,,
pus filled pimples,بثور بها صديد,حبوب ذات رأس,حبوب بصديد,
blackheads,رؤوس سوداء,,,
scurrying,يمشي بسرعة,يهرول,,
skin peeling,تقشير الجلد,جلد بيقشر,,
small dents in nails,خدوش صغير في الاظافر,اظافر مخدوشة,اظافر مخدوشة,خدش في الضوافر
inflammatory nails,التهاب الاظافر,اظافر ملتهبة,ضوافر ملتهبة,
blister,بثرة,حباية,,
